Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-23,MARUTI,EQ,7086.45,7118.8,7122.35,6938.0,6975.0,6970.5,7004.31,1589884,1113603598854999.9,155033,688121,0.4328
2021-02-24,MARUTI,EQ,6970.5,6905.0,7036.0,6877.5,6955.0,6952.95,6969.92,1225254,853992115900000.0,117844,540301,0.441
2021-02-25,MARUTI,EQ,6952.95,7065.0,7069.0,6915.0,6926.05,6930.35,6955.9,1740066,1210373187615000.0,135168,904726,0.5199
2021-02-26,MARUTI,EQ,6930.35,6900.0,7075.0,6822.2,6851.0,6866.15,6937.04,2687534,1864353704230000.0,260516,911816,0.3393
2021-03-01,MARUTI,EQ,6866.15,6977.0,7032.85,6917.05,7024.9,7015.0,6987.36,1417600,990527880295000.1,133457,637032,0.44939999999999997
2021-03-02,MARUTI,EQ,7015.0,7060.0,7235.0,7030.0,7223.0,7214.1,7138.08,1395296,995973163385000.0,115867,644925,0.4622
2021-03-03,MARUTI,EQ,7214.1,7245.6,7262.3,7101.2,7129.25,7124.7,7132.69,796258,567945877170000.0,88189,291539,0.3661
2021-03-04,MARUTI,EQ,7124.7,7080.0,7175.2,7011.0,7123.0,7131.6,7108.26,906310,644228887390000.0,98839,278461,0.3072
2021-03-05,MARUTI,EQ,7131.6,7130.0,7315.0,7070.0,7251.0,7249.0,7236.86,1821165,1317950756865000.0,136188,802724,0.44079999999999997
2021-03-08,MARUTI,EQ,7249.0,7264.9,7338.8,7216.0,7248.1,7259.5,7277.95,977572,711472204630000.0,95403,372383,0.3809
2021-03-09,MARUTI,EQ,7259.5,7329.4,7329.4,7256.0,7300.0,7301.55,7291.37,678485,494708843564999.94,69419,328281,0.48380000000000006
2021-03-10,MARUTI,EQ,7301.55,7320.0,7387.0,7251.0,7260.65,7272.1,7318.8,659270,482506245389999.94,99069,234347,0.3555
2021-03-12,MARUTI,EQ,7272.1,7300.0,7313.0,7061.4,7100.75,7096.2,7151.12,946720,677011049120000.0,114353,341569,0.3608
2021-03-15,MARUTI,EQ,7096.2,7145.0,7162.95,7011.0,7076.0,7089.3,7071.09,700309,495194714639999.94,87619,223307,0.3189
2021-03-16,MARUTI,EQ,7089.3,7100.0,7200.0,7100.0,7155.0,7150.3,7156.16,796357,569885949245000.0,89199,333378,0.4186
2021-03-17,MARUTI,EQ,7150.3,7160.0,7169.95,7043.5,7075.0,7064.65,7098.99,688581,488822821620000.0,66862,357004,0.5185000000000001
2021-03-18,MARUTI,EQ,7064.65,7125.0,7242.0,7060.0,7108.0,7113.75,7159.91,984545,704925672840000.0,111880,327984,0.3331
2021-03-19,MARUTI,EQ,7113.75,7059.95,7149.95,6905.5,7114.9,7113.55,7022.41,838756,589008995125000.0,103254,220746,0.2632
2021-03-22,MARUTI,EQ,7113.55,7104.0,7142.5,7050.2,7106.0,7101.25,7088.01,533767,378334755115000.0,72385,174907,0.32770000000000005
2021-03-23,MARUTI,EQ,7101.25,7138.0,7225.0,7130.0,7172.0,7186.25,7189.58,757590,544675222335000.06,85127,253656,0.3348
2021-03-24,MARUTI,EQ,7186.25,7136.0,7158.4,7049.95,7060.0,7066.2,7093.04,457147,324256277415000.0,63062,137921,0.3017
2021-03-25,MARUTI,EQ,7066.2,7050.0,7059.0,6755.25,6792.0,6786.85,6842.51,1338767,916052440675000.0,181801,511237,0.38189999999999996
2021-03-26,MARUTI,EQ,6786.85,6889.0,6898.95,6771.0,6789.0,6784.45,6808.28,911299,620438298100000.0,108503,396139,0.4347
2021-03-30,MARUTI,EQ,6784.45,6811.0,6875.0,6740.0,6854.45,6851.8,6805.37,1088917,741048472410000.0,105581,518822,0.4765
2021-03-31,MARUTI,EQ,6851.8,6852.3,6939.9,6795.2,6864.75,6859.2,6874.85,735382,505563742914999.94,84020,242359,0.3296
2021-04-01,MARUTI,EQ,6859.2,6950.0,6991.5,6855.0,6922.0,6923.9,6928.21,660759,457787860114999.94,57833,170697,0.2583
2021-04-05,MARUTI,EQ,6923.9,6908.5,6908.5,6724.6,6773.0,6768.55,6785.21,668129,453339326080000.0,76303,221541,0.33159999999999995
2021-04-06,MARUTI,EQ,6768.55,6818.25,6846.95,6720.0,6767.2,6751.3,6786.69,628262,426382039330000.0,69291,179244,0.2853
2021-04-07,MARUTI,EQ,6751.3,6790.0,6885.0,6775.05,6865.2,6865.0,6847.39,598115,409552583610000.0,57449,255548,0.42729999999999996
2021-04-08,MARUTI,EQ,6865.0,6881.0,6939.3,6806.85,6831.0,6826.85,6885.7,604553,416276904875000.0,58345,281504,0.4656
2021-04-09,MARUTI,EQ,6826.85,6850.0,6875.25,6778.0,6835.0,6827.1,6827.68,641327,437877359800000.0,60183,277643,0.4329
2021-04-12,MARUTI,EQ,6827.1,6739.85,6739.85,6502.15,6533.0,6520.6,6565.82,1020746,670203219025000.0,134956,505862,0.49560000000000004
2021-04-13,MARUTI,EQ,6520.6,6520.0,6845.4,6468.8,6825.0,6815.8,6733.61,995718,670477613305000.0,107496,283343,0.2846
2021-04-15,MARUTI,EQ,6815.8,6846.6,6846.85,6551.0,6643.0,6644.25,6640.08,1267365,841540981865000.0,138313,581577,0.45890000000000003
2021-04-16,MARUTI,EQ,6644.25,6675.0,6784.85,6606.05,6633.0,6648.1,6680.14,1000325,668231428355000.0,81274,342948,0.3428
2021-04-19,MARUTI,EQ,6648.1,6500.35,6530.0,6415.0,6515.0,6511.75,6477.28,772219,500187684025000.0,94720,323706,0.4192
2021-04-20,MARUTI,EQ,6511.75,6615.0,6678.7,6558.55,6640.0,6646.65,6616.92,914142,604880023755000.0,69676,401144,0.4388
2021-04-22,MARUTI,EQ,6646.65,6625.95,6674.9,6545.0,6648.0,6650.1,6631.11,667911,442899345285000.06,75599,329978,0.494
2021-04-23,MARUTI,EQ,6650.1,6560.0,6714.7,6560.0,6684.0,6676.1,6651.34,709306,471783631535000.06,64854,275503,0.3884
2021-04-26,MARUTI,EQ,6676.1,6690.2,6789.0,6600.0,6645.0,6638.9,6678.34,937344,625990283180000.0,74474,464999,0.4961
2021-04-27,MARUTI,EQ,6638.9,6669.95,6709.0,6542.0,6552.0,6568.75,6620.68,1610651,1066359829460000.0,130986,588617,0.3655
2021-04-28,MARUTI,EQ,6568.75,6568.75,6650.0,6545.0,6581.0,6573.8,6598.62,1406270,927943729775000.0,117843,672435,0.4782
2021-04-29,MARUTI,EQ,6573.8,6635.0,6647.45,6552.0,6562.0,6565.65,6580.77,757075,498213501010000.06,64393,352987,0.46630000000000005
2021-04-30,MARUTI,EQ,6565.65,6537.1,6559.6,6421.0,6438.35,6455.65,6500.51,849997,552541815500000.0,95248,382594,0.4501
2021-05-03,MARUTI,EQ,6455.65,6430.0,6622.0,6400.0,6600.0,6597.85,6568.74,834923,548439148525000.0,71917,162249,0.1943
2021-05-04,MARUTI,EQ,6597.85,6639.95,6648.5,6482.0,6506.0,6508.25,6544.51,507170,331917716875000.0,53256,123041,0.2426
2021-05-05,MARUTI,EQ,6508.25,6557.7,6599.0,6483.0,6590.0,6590.1,6551.0,499160,326999839145000.0,52446,117735,0.2359
2021-05-06,MARUTI,EQ,6590.1,6590.0,6709.0,6575.7,6657.0,6666.65,6664.2,520125,346621611470000.0,55167,190241,0.3658
2021-05-07,MARUTI,EQ,6666.65,6679.0,6754.55,6640.0,6694.05,6703.05,6697.04,605050,405204361500000.0,62112,235152,0.3886
2021-05-10,MARUTI,EQ,6703.05,6675.2,6773.15,6660.1,6765.0,6764.0,6738.56,541534,364915806695000.0,59183,232526,0.4294
2021-05-11,MARUTI,EQ,6764.0,6680.15,6749.0,6660.25,6740.0,6736.65,6709.69,406046,272444170135000.0,46189,130971,0.3226
2021-05-12,MARUTI,EQ,6736.65,6730.0,6840.0,6685.0,6825.0,6817.55,6771.29,770204,521527152750000.0,73266,311842,0.40490000000000004
2021-05-14,MARUTI,EQ,6817.55,6840.0,6842.15,6700.2,6720.0,6736.4,6745.87,647029,436477322550000.0,77290,302500,0.4675
2021-05-17,MARUTI,EQ,6736.4,6716.5,6838.4,6697.55,6715.0,6717.85,6764.44,995827,673620794485000.0,85734,630130,0.6328
2021-05-18,MARUTI,EQ,6717.85,6788.0,6864.0,6715.45,6812.0,6811.1,6798.4,805827,547833782285000.06,74323,308871,0.3833
2021-05-19,MARUTI,EQ,6811.1,6799.0,6854.95,6760.0,6771.0,6775.9,6796.41,432774,294130835660000.0,49718,147826,0.34159999999999996
2021-05-20,MARUTI,EQ,6775.9,6780.8,6814.7,6729.5,6739.0,6737.85,6765.64,470476,318307049575000.0,53092,207817,0.44170000000000004
2021-05-21,MARUTI,EQ,6737.85,6780.0,6835.5,6744.25,6811.1,6814.65,6796.16,434363,295200209555000.0,46661,179876,0.41409999999999997
2021-05-24,MARUTI,EQ,6814.65,6802.0,6965.0,6802.0,6882.0,6871.6,6904.36,1027484,709411813450000.0,99839,308603,0.3003
2021-05-25,MARUTI,EQ,6871.6,6939.95,6948.0,6888.0,6910.0,6911.8,6915.45,438736,303405873970000.0,46895,153247,0.3493
2021-05-26,MARUTI,EQ,6911.8,6926.0,7051.0,6912.0,7024.0,7034.3,6996.06,691574,483829140614999.94,68086,279281,0.40380000000000005
2021-05-27,MARUTI,EQ,7034.3,7022.0,7069.0,6951.15,6968.0,6968.9,6996.16,922091,645109836460000.0,76583,508186,0.5511
2021-05-28,MARUTI,EQ,6968.9,6988.6,7047.0,6940.5,6965.0,6970.0,6978.71,393809,274827683955000.03,39040,139376,0.3539
2021-05-31,MARUTI,EQ,6970.0,6955.0,7100.0,6924.05,7075.05,7086.3,7046.96,718277,506167219160000.06,63467,322432,0.4489
2021-06-01,MARUTI,EQ,7086.3,7107.55,7143.0,7047.05,7085.0,7091.15,7100.25,642841,456433019189999.94,56757,237134,0.3689
2021-06-02,MARUTI,EQ,7091.15,7063.45,7197.7,7063.45,7185.5,7184.7,7141.97,598862,427705576280000.0,65123,289848,0.484
2021-06-03,MARUTI,EQ,7184.7,7200.0,7230.0,7165.05,7202.0,7209.5,7200.92,401590,289181820975000.0,48913,167785,0.4178
2021-06-04,MARUTI,EQ,7209.5,7200.0,7272.0,7151.1,7219.5,7214.7,7218.27,575591,415477365135000.0,52647,228971,0.39780000000000004
