Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-02-09,ASIANPAINT,EQ,2416.85,2432.5,2532.45,2423.65,2508.0,2506.85,2498.1,7178572,1793280567775000.0,273637,2117184,0.2949
2021-02-10,ASIANPAINT,EQ,2506.85,2529.0,2555.0,2475.0,2510.15,2510.6,2510.74,4473123,1123085111085000.0,194967,1426820,0.319
2021-02-11,ASIANPAINT,EQ,2510.6,2524.95,2540.0,2495.1,2508.0,2505.5,2511.73,1446286,363267761700000.0,75891,421197,0.2912
2021-02-12,ASIANPAINT,EQ,2505.5,2518.0,2523.0,2464.2,2488.0,2486.1,2491.77,1376085,342888850570000.0,61470,304801,0.2215
2021-02-15,ASIANPAINT,EQ,2486.1,2495.0,2517.5,2448.55,2463.0,2456.75,2481.34,1634576,405593941180000.0,75619,554261,0.33909999999999996
2021-02-16,ASIANPAINT,EQ,2456.75,2472.0,2475.1,2422.0,2453.0,2450.25,2442.51,1615849,394673031155000.0,89982,500974,0.31
2021-02-17,ASIANPAINT,EQ,2450.25,2436.0,2455.05,2382.0,2386.0,2388.15,2404.67,3178784,764392415985000.0,138806,1444831,0.4545
2021-02-18,ASIANPAINT,EQ,2388.15,2424.0,2479.6,2395.25,2471.0,2470.75,2449.52,4253843,1041986031504999.9,139037,1330756,0.3128
2021-02-19,ASIANPAINT,EQ,2470.75,2470.9,2470.9,2400.0,2423.2,2416.45,2426.74,2244567,544698495964999.94,106810,630883,0.2811
2021-02-22,ASIANPAINT,EQ,2416.45,2428.75,2448.0,2380.0,2387.3,2387.05,2415.85,2002642,483808388535000.06,100102,568602,0.2839
2021-02-23,ASIANPAINT,EQ,2387.05,2375.0,2400.0,2315.0,2376.0,2372.2,2352.09,3267268,768489846535000.0,152011,858564,0.26280000000000003
2021-02-24,ASIANPAINT,EQ,2372.2,2373.0,2409.35,2347.2,2360.0,2361.35,2371.78,1708526,405224641340000.0,79913,625474,0.3661
2021-02-25,ASIANPAINT,EQ,2361.35,2375.0,2386.25,2336.2,2369.9,2373.75,2358.24,2839515,669624824240000.0,136562,1387723,0.48869999999999997
2021-02-26,ASIANPAINT,EQ,2373.75,2338.05,2360.0,2260.0,2278.0,2277.2,2305.79,3933813,907054787270000.1,209048,2043811,0.5195000000000001
2021-03-01,ASIANPAINT,EQ,2277.2,2300.0,2369.9,2300.0,2368.0,2362.3,2337.62,2545806,595111772705000.0,93047,862344,0.3387
2021-03-02,ASIANPAINT,EQ,2362.3,2386.0,2402.55,2359.0,2391.0,2390.4,2382.6,2033586,484521563545000.0,92939,651739,0.32049999999999995
2021-03-03,ASIANPAINT,EQ,2390.4,2406.0,2417.7,2375.8,2400.0,2402.1,2393.26,1591567,380903782025000.0,79230,664444,0.4175
2021-03-04,ASIANPAINT,EQ,2402.1,2380.0,2435.0,2350.0,2416.0,2417.1,2411.09,2149984,518379724100000.0,103736,1052551,0.48960000000000004
2021-03-05,ASIANPAINT,EQ,2417.1,2399.0,2423.9,2377.1,2385.0,2387.1,2398.28,1953642,468537441455000.0,92175,865127,0.4428
2021-03-08,ASIANPAINT,EQ,2387.1,2383.0,2413.5,2360.05,2382.75,2382.7,2385.72,1593838,380245437555000.0,87571,489266,0.307
2021-03-09,ASIANPAINT,EQ,2382.7,2400.0,2444.0,2396.15,2420.0,2422.7,2423.43,1800442,436324234980000.0,94313,580028,0.3222
2021-03-10,ASIANPAINT,EQ,2422.7,2446.0,2446.0,2415.55,2429.35,2431.95,2432.03,1056102,256847208860000.0,71351,446382,0.4227
2021-03-12,ASIANPAINT,EQ,2431.95,2442.8,2464.65,2397.0,2402.55,2401.35,2428.31,1279203,310630666175000.0,85288,536706,0.41960000000000003
2021-03-15,ASIANPAINT,EQ,2401.35,2402.55,2427.55,2343.05,2357.9,2355.0,2367.04,1524455,360844244465000.0,86759,746337,0.48960000000000004
2021-03-16,ASIANPAINT,EQ,2355.0,2379.2,2480.0,2375.35,2465.75,2468.6,2442.28,4230564,1033222137029999.9,155661,1435386,0.3393
2021-03-17,ASIANPAINT,EQ,2468.6,2460.0,2460.0,2411.1,2426.0,2422.95,2427.58,1623187,394040862995000.0,90724,422323,0.2602
2021-03-18,ASIANPAINT,EQ,2422.95,2468.85,2468.85,2390.0,2410.0,2404.55,2420.13,1851739,448144630730000.0,97263,531185,0.28690000000000004
2021-03-19,ASIANPAINT,EQ,2404.55,2393.0,2434.0,2355.35,2411.0,2411.25,2407.07,3738079,899781297879999.9,106664,1960146,0.5244
2021-03-22,ASIANPAINT,EQ,2411.25,2390.0,2438.1,2390.0,2427.95,2425.7,2419.88,1489853,360526043555000.0,74852,591788,0.3972
2021-03-23,ASIANPAINT,EQ,2425.7,2430.0,2433.95,2398.2,2410.0,2410.3,2411.16,1745466,420859089060000.0,92301,974473,0.5583
2021-03-24,ASIANPAINT,EQ,2410.3,2410.3,2470.0,2410.0,2444.0,2443.55,2451.13,4132092,1012828684120000.1,163476,1464543,0.3544
2021-03-25,ASIANPAINT,EQ,2443.55,2450.95,2469.0,2392.0,2402.8,2402.2,2428.85,2272545,551966590389999.94,107083,1028164,0.4524
2021-03-26,ASIANPAINT,EQ,2402.2,2425.0,2513.95,2409.1,2498.0,2505.15,2481.8,3084607,765537638565000.0,142167,1128950,0.36600000000000005
2021-03-30,ASIANPAINT,EQ,2505.15,2539.1,2583.45,2521.5,2571.25,2578.05,2559.5,2333410,597235719230000.0,117958,803209,0.3442
2021-03-31,ASIANPAINT,EQ,2578.05,2578.05,2582.95,2531.0,2537.0,2537.4,2553.27,1616044,412620398535000.0,73169,626733,0.38780000000000003
2021-04-01,ASIANPAINT,EQ,2537.4,2532.0,2564.55,2532.0,2545.0,2551.75,2549.8,1219588,310971112200000.0,54928,331850,0.2721
2021-04-05,ASIANPAINT,EQ,2551.75,2558.0,2558.0,2484.5,2512.0,2510.65,2509.91,1268939,318491911935000.0,74815,460703,0.36310000000000003
2021-04-06,ASIANPAINT,EQ,2510.65,2526.0,2620.0,2504.5,2610.1,2611.6,2585.83,3372846,872161249050000.0,178805,1179991,0.34990000000000004
2021-04-07,ASIANPAINT,EQ,2611.6,2605.0,2668.05,2600.1,2621.6,2628.6,2644.44,1937977,512487199500000.0,110658,632530,0.3264
2021-04-08,ASIANPAINT,EQ,2628.6,2630.0,2658.4,2628.0,2643.95,2650.65,2647.85,897483,237639826569999.97,60031,267938,0.29850000000000004
2021-04-09,ASIANPAINT,EQ,2650.65,2635.0,2655.0,2610.15,2635.0,2630.8,2626.7,1185017,311268374385000.0,74094,419655,0.35409999999999997
2021-04-12,ASIANPAINT,EQ,2630.8,2578.2,2610.0,2555.0,2602.35,2602.2,2587.63,1427691,369433076255000.0,81793,493010,0.3453
2021-04-13,ASIANPAINT,EQ,2602.2,2600.0,2626.0,2564.3,2574.5,2570.7,2587.13,1200230,310515377185000.0,70840,374604,0.3121
2021-04-15,ASIANPAINT,EQ,2570.7,2590.0,2593.55,2537.0,2581.6,2587.7,2568.5,1209829,310744001615000.0,67289,416760,0.34450000000000003
2021-04-16,ASIANPAINT,EQ,2587.7,2587.6,2693.5,2581.7,2654.0,2663.7,2661.98,2760777,734914587905000.0,126733,932921,0.3379
2021-04-19,ASIANPAINT,EQ,2663.7,2650.0,2650.0,2566.85,2575.0,2571.9,2590.54,1552036,402061764850000.0,93671,604169,0.3893
2021-04-20,ASIANPAINT,EQ,2571.9,2600.0,2604.7,2528.8,2547.9,2553.65,2564.75,1489287,381964727230000.0,79691,486810,0.32689999999999997
2021-04-22,ASIANPAINT,EQ,2553.65,2555.65,2557.0,2488.0,2510.0,2511.25,2510.01,1690758,424381646605000.0,82103,759976,0.4495
2021-04-23,ASIANPAINT,EQ,2511.25,2527.1,2565.0,2496.2,2520.0,2517.95,2523.48,1614593,407439994945000.0,78286,387340,0.2399
2021-04-26,ASIANPAINT,EQ,2517.95,2530.0,2575.0,2530.0,2558.0,2557.9,2557.47,1103980,282339961085000.0,58557,335232,0.3037
2021-04-27,ASIANPAINT,EQ,2557.9,2545.0,2579.9,2534.0,2571.0,2574.35,2560.55,866331,221828755655000.03,66988,281178,0.3246
2021-04-28,ASIANPAINT,EQ,2574.35,2588.0,2620.25,2575.0,2612.0,2614.55,2605.91,1065561,277675191510000.0,52622,449241,0.4216
2021-04-29,ASIANPAINT,EQ,2614.55,2630.0,2642.0,2570.0,2613.0,2613.45,2607.33,1295346,337739430610000.0,64039,447979,0.3458
2021-04-30,ASIANPAINT,EQ,2613.45,2595.0,2605.8,2524.05,2529.0,2536.4,2558.66,1384907,354351186245000.0,91934,750496,0.5418999999999999
2021-05-03,ASIANPAINT,EQ,2536.4,2510.0,2595.1,2505.6,2590.5,2582.15,2558.64,1034774,264760997819999.97,54041,281236,0.2718
2021-05-04,ASIANPAINT,EQ,2582.15,2605.0,2617.95,2571.55,2589.8,2587.15,2593.74,1058140,274454527305000.03,62692,403493,0.38130000000000003
2021-05-05,ASIANPAINT,EQ,2587.15,2617.0,2617.0,2546.1,2571.75,2567.65,2575.73,1220186,314287405815000.0,54031,496992,0.4073
2021-05-06,ASIANPAINT,EQ,2567.65,2579.85,2581.85,2528.0,2553.85,2549.05,2545.52,1518119,386440777285000.0,62461,791365,0.5213
2021-05-07,ASIANPAINT,EQ,2549.05,2555.0,2590.0,2541.5,2554.85,2551.65,2562.89,1416102,362931584390000.0,60480,679323,0.4797
2021-05-10,ASIANPAINT,EQ,2551.65,2589.0,2589.0,2542.15,2548.0,2556.95,2563.1,1526814,391337458240000.0,65354,775607,0.508
2021-05-11,ASIANPAINT,EQ,2556.95,2533.0,2562.0,2521.3,2561.7,2556.25,2544.64,1168363,297306277980000.0,65711,534071,0.4571
2021-05-12,ASIANPAINT,EQ,2556.25,2577.0,2588.95,2530.0,2560.15,2556.2,2566.94,2085630,535369159325000.0,91209,499218,0.23940000000000003
2021-05-14,ASIANPAINT,EQ,2556.2,2620.0,2835.25,2601.55,2772.0,2774.5,2767.41,10543708,2917877683220000.0,550509,1898086,0.18
2021-05-17,ASIANPAINT,EQ,2774.5,2782.0,2824.2,2747.55,2782.0,2782.75,2786.71,2134352,594781206840000.0,112188,257538,0.1207
2021-05-18,ASIANPAINT,EQ,2782.75,2797.0,2845.0,2789.0,2818.95,2821.8,2814.36,1328605,373917717455000.0,61472,355111,0.26730000000000004
2021-05-19,ASIANPAINT,EQ,2821.8,2805.15,2849.0,2798.65,2808.0,2815.85,2822.43,1219067,344073209390000.0,58397,331583,0.272
2021-05-20,ASIANPAINT,EQ,2815.85,2814.0,2845.0,2778.5,2791.05,2794.1,2811.83,1211975,340787155200000.0,54928,349734,0.2886
2021-05-21,ASIANPAINT,EQ,2794.1,2807.0,2854.0,2795.0,2831.0,2832.5,2828.56,1328308,375719407615000.0,85622,411590,0.3099
2021-05-24,ASIANPAINT,EQ,2832.5,2846.0,2849.0,2808.2,2820.0,2819.2,2820.79,813091,229355929719999.97,46964,326112,0.4011
2021-05-25,ASIANPAINT,EQ,2819.2,2836.9,2922.65,2822.75,2918.05,2914.4,2898.57,2730112,791342801320000.0,128515,485864,0.17800000000000002
2021-05-26,ASIANPAINT,EQ,2914.4,2939.85,2947.9,2910.4,2940.0,2941.6,2934.32,1250531,366945980360000.0,53243,304721,0.24370000000000003
2021-05-27,ASIANPAINT,EQ,2941.6,2950.0,2965.0,2902.25,2965.0,2949.35,2939.98,2415085,710031282705000.0,76899,1148689,0.4756
2021-05-28,ASIANPAINT,EQ,2949.35,2958.15,2963.8,2931.15,2935.7,2940.7,2946.2,711383,209587900705000.0,44927,228055,0.32060000000000005
2021-05-31,ASIANPAINT,EQ,2940.7,2938.0,2989.95,2936.1,2976.1,2977.5,2973.83,2093635,622612014220000.0,84746,800178,0.3822
2021-06-01,ASIANPAINT,EQ,2977.5,2965.0,2982.6,2915.1,2924.9,2931.0,2952.41,1194073,352539239175000.0,60036,563894,0.4722
2021-06-02,ASIANPAINT,EQ,2931.0,2918.85,2933.75,2877.15,2906.0,2903.7,2902.17,2067842,600122267215000.0,105671,1326981,0.6417
2021-06-03,ASIANPAINT,EQ,2903.7,2919.6,2942.0,2904.05,2935.8,2935.35,2921.21,1404434,410264276140000.0,71480,790140,0.5626
2021-06-04,ASIANPAINT,EQ,2935.35,2953.0,2990.0,2908.0,2919.65,2924.9,2945.21,1509084,444457273680000.0,88095,544102,0.36060000000000003
