Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2021-03-22,NTPC,EQ,108.5,108.8,110.55,106.85,110.25,109.85,109.32,31980425,349617409790000.0,84249,16011374,0.5007
2021-03-23,NTPC,EQ,109.85,110.0,110.2,108.1,108.55,108.65,108.86,14060206,153054278875000.0,56953,4279514,0.3044
2021-03-24,NTPC,EQ,108.65,108.0,109.4,105.6,106.1,106.0,107.74,15196366,163728194520000.0,61310,4209617,0.277
2021-03-25,NTPC,EQ,106.0,106.0,106.5,102.65,103.1,103.0,104.01,22543755,234476673780000.03,91076,8068950,0.3579
2021-03-26,NTPC,EQ,103.0,105.75,105.75,103.7,104.15,104.2,104.39,17402475,181668806910000.0,84104,5335454,0.3066
2021-03-30,NTPC,EQ,104.2,105.85,108.7,104.6,108.0,107.7,107.44,36130210,388179470925000.0,97440,16728815,0.46299999999999997
2021-03-31,NTPC,EQ,107.7,107.7,109.0,106.1,106.6,106.55,107.19,23063667,247230841000000.0,86741,10160212,0.4405
2021-04-01,NTPC,EQ,106.55,107.5,108.75,106.95,107.8,107.9,107.89,13753303,148387758730000.0,52607,4927737,0.3583
2021-04-05,NTPC,EQ,107.9,107.4,107.8,103.75,107.05,106.3,105.75,15666099,165673531330000.0,58665,4824385,0.308
2021-04-06,NTPC,EQ,106.3,107.75,108.1,105.8,106.15,106.05,106.89,17393454,185921378340000.0,54025,4868335,0.2799
2021-04-07,NTPC,EQ,106.05,106.9,107.35,105.25,105.5,105.45,106.06,15692013,166435178010000.0,42173,6067224,0.3866
2021-04-08,NTPC,EQ,105.45,106.0,106.45,104.7,105.0,105.0,105.54,11394998,120262394709999.98,36392,4775666,0.4191
2021-04-09,NTPC,EQ,105.0,105.95,105.95,102.4,102.9,102.8,103.46,19751417,204357619930000.0,73716,8537715,0.43229999999999996
2021-04-12,NTPC,EQ,102.8,101.5,101.5,98.05,99.35,99.05,99.11,20221362,200405820045000.0,90413,8106312,0.40090000000000003
2021-04-13,NTPC,EQ,99.05,99.6,101.15,99.25,100.85,100.6,100.35,19192856,192604838150000.0,39955,8583400,0.4472
2021-04-15,NTPC,EQ,100.6,101.2,103.0,99.3,101.15,101.35,100.94,13865351,139960954975000.0,62331,4829947,0.3483
2021-04-16,NTPC,EQ,101.35,101.9,102.9,100.5,102.15,102.45,101.94,14654851,149396776640000.0,49611,5742652,0.39189999999999997
2021-04-19,NTPC,EQ,102.45,100.0,100.4,98.65,99.05,99.05,99.38,11652043,115797387615000.02,66060,4624680,0.3969
2021-04-20,NTPC,EQ,99.05,99.2,100.9,98.15,98.6,99.05,99.64,16528675,164696742980000.0,59675,7358403,0.44520000000000004
2021-04-22,NTPC,EQ,99.05,98.05,99.75,97.05,98.85,98.95,98.82,18614270,183941319390000.0,69077,9199574,0.49420000000000003
2021-04-23,NTPC,EQ,98.95,98.0,103.0,98.0,102.85,102.55,101.67,29484794,299767392965000.0,81071,9969337,0.3381
2021-04-26,NTPC,EQ,102.55,103.95,103.95,100.85,102.5,102.4,102.08,24369413,248751434590000.0,66644,9190471,0.3771
2021-04-27,NTPC,EQ,102.4,102.05,103.55,101.7,101.85,102.05,102.35,17763436,181811271620000.0,49985,7220824,0.4065
2021-04-28,NTPC,EQ,102.05,102.85,103.95,102.15,103.6,103.6,103.15,15160578,156388225640000.0,50680,7815042,0.5155
2021-04-29,NTPC,EQ,103.6,104.6,105.0,102.65,102.95,103.05,103.7,11588556,120173713500000.0,38532,4040332,0.3486
2021-04-30,NTPC,EQ,103.05,102.25,105.65,102.05,102.4,102.45,103.71,15321193,158895206995000.0,48217,4597153,0.30010000000000003
2021-05-03,NTPC,EQ,102.45,101.4,104.6,101.05,104.3,104.25,103.26,12186212,125836425090000.02,53010,3660956,0.3004
2021-05-04,NTPC,EQ,104.25,104.3,106.05,103.5,103.85,103.75,104.9,12992684,136296260350000.0,44803,3762535,0.2896
2021-05-05,NTPC,EQ,103.75,104.75,105.65,102.8,103.8,103.9,103.96,14956169,155485404350000.0,49106,6614999,0.44229999999999997
2021-05-06,NTPC,EQ,103.9,105.0,105.1,102.65,103.1,103.05,103.57,13547274,140302633250000.0,43147,4384910,0.3237
2021-05-07,NTPC,EQ,103.05,104.0,105.5,103.35,105.1,105.05,104.61,13229291,138394825784999.98,44222,4641222,0.3508
2021-05-10,NTPC,EQ,105.05,106.0,108.0,105.6,107.7,107.7,106.76,23980945,256015854255000.03,81607,9047375,0.37729999999999997
2021-05-11,NTPC,EQ,107.7,108.0,113.4,106.7,112.95,112.7,110.44,45613487,503778066225000.0,159411,11788331,0.2584
2021-05-12,NTPC,EQ,112.7,114.2,116.75,111.75,113.25,113.3,114.99,62158914,714749051970000.0,234809,15486482,0.24910000000000002
2021-05-14,NTPC,EQ,113.3,113.95,113.95,110.15,111.15,111.4,111.84,16227312,181486958140000.0,75382,3655373,0.22530000000000003
2021-05-17,NTPC,EQ,111.4,111.2,112.25,109.95,111.15,111.55,110.79,12832920,142172200605000.0,53794,3209490,0.25010000000000004
2021-05-18,NTPC,EQ,111.55,112.6,114.2,111.75,111.95,112.1,112.69,14892142,167814549410000.0,60775,4087960,0.2745
2021-05-19,NTPC,EQ,112.1,113.15,113.15,110.95,111.95,111.95,112.15,12610425,141425585450000.0,49856,3975589,0.3153
2021-05-20,NTPC,EQ,111.95,112.0,112.75,110.9,111.7,111.75,111.63,10303689,115018234730000.0,38890,3882402,0.3768
2021-05-21,NTPC,EQ,111.75,112.3,113.15,111.25,112.65,112.85,112.22,12171685,136586095125000.0,50631,5279548,0.4338
2021-05-24,NTPC,EQ,112.85,112.35,113.95,112.05,112.65,112.9,113.15,11341268,128321598334999.98,49434,4733797,0.41740000000000005
2021-05-25,NTPC,EQ,112.9,113.9,114.85,113.05,113.2,113.3,113.9,15289982,174158698475000.0,67525,4635683,0.3032
2021-05-26,NTPC,EQ,113.3,114.0,114.0,110.9,111.15,111.1,112.38,17466748,196289778540000.0,48319,8715145,0.499
2021-05-27,NTPC,EQ,111.1,111.6,111.65,109.3,109.8,110.3,110.48,34169451,377506306670000.0,70118,22660099,0.6631999999999999
2021-05-28,NTPC,EQ,110.3,110.3,111.0,108.35,109.15,108.95,109.55,13383166,146618317075000.0,50012,4605007,0.34409999999999996
2021-05-31,NTPC,EQ,108.95,108.95,111.35,107.8,110.6,110.5,109.97,14754293,162253721085000.0,51904,4999703,0.33890000000000003
2021-06-01,NTPC,EQ,110.5,110.95,111.45,109.5,110.35,110.2,110.53,10271211,113526327825000.0,47975,4140207,0.4031
2021-06-02,NTPC,EQ,110.2,110.1,111.35,110.05,111.1,111.15,110.85,6492771,71971570865000.0,26608,2768177,0.4263
2021-06-03,NTPC,EQ,111.15,111.6,112.2,110.45,111.75,111.8,111.44,12140851,135302189855000.0,49646,5746446,0.4733
2021-06-04,NTPC,EQ,111.8,111.5,113.0,111.05,111.65,111.75,112.06,8930671,100076634770000.0,36234,3053887,0.342
